[7, 12, 10, 13, 13, 20, 4, 2, 19, 6] 31
[19, 13, 17, 1, 19, 16, 1, 20, 16, 12] 14
[3, 0, 16, 14, 20, 2, 5, 2, 12, 15] 13
[2, 20, 3, 4, 7, 18, 15, 12, 20, 2] 6
[19, 4, 2, 18, 2, 9, 7, 15, 12, 7] 0
[1, 1, 3, 8, 14, 18, 0, 7, 16, 16] 29
[1, 14, 11, 4, 20, 17, 12, 13, 13, 0] 22
[11, 1, 19, 16, 14, 20, 17, 16, 19, 3] 38
[1, 4, 8, 18, 3, 18, 19, 1, 8, 12] 4
[6, 7, 6, 7, 6, 16, 19, 20, 9, 19] 6
[4, 15, 1, 0, 12, 3, 8, 8, 11, 3] 31
[3, 1, 13, 15, 7, 2, 0, 11, 12, 1] 11
[19, 0, 17, 15, 7, 6, 4, 8, 1, 4] 15
[19, 19, 8, 10, 10, 8, 15, 9, 10, 1] 40
[5, 12, 12, 16, 5, 12, 9, 1, 5, 14] 14
[7, 20, 5, 17, 8, 17, 19, 1, 6, 8] 32
[13, 19, 6, 16, 10, 2, 2, 12, 11, 13] 22
[5, 14, 6, 16, 7, 17, 15, 4, 5, 15] 18
[15, 17, 1, 12, 19, 17, 4, 1, 7, 7] 33
[17, 4, 9, 3, 6, 16, 15, 9, 6, 9] 14
[16, 9, 5, 15, 0, 10, 17, 14, 8, 14] 31
[3, 13, 12, 9, 17, 2, 8, 18, 8, 2] 26
[10, 17, 3, 4, 7, 11, 10, 5, 7, 12] 40
[2, 9, 15, 20, 15, 1, 17, 8, 8, 2] 10
[13, 13, 3, 16, 4, 8, 1, 4, 8, 16] 7
[14, 20, 4, 19, 10, 0, 9, 0, 13, 18] 34
[8, 14, 0, 14, 11, 6, 16, 12, 4, 1] 21
[2, 6, 18, 16, 18, 12, 11, 17, 9, 8] 12
[12, 12, 15, 11, 3, 8, 17, 7, 10, 8] 34
[16, 10, 15, 2, 6, 11, 17, 6, 4, 4] 20
[2, 20, 2, 1, 13, 16, 11, 15, 13, 18] 0
[6, 14, 20, 12, 14, 13, 13, 7, 18, 5] 37
[3, 7, 13, 6, 12, 17, 19, 13, 13, 10] 16
[4, 16, 15, 14, 12, 7, 9, 8, 12, 10] 14
