[22, 30, 21, 17, 36, 40, 22, 18, 6, 3, 27, 11, 7, 30, 0, 34, 19, 12, 15, 37] 59
[38, 8, 22, 22, 23, 31, 24, 22, 31, 30, 20, 14, 38, 35, 16, 14, 31, 19, 14, 15] 4
[40, 28, 25, 35, 27, 4, 5, 37, 17, 13, 38, 2, 16, 35, 17, 36, 31, 35, 38, 39] 28
[26, 40, 35, 30, 13, 1, 1, 25, 2, 10, 2, 27, 39, 20, 3, 33, 28, 32, 6, 27] 66
[14, 7, 29, 18, 20, 5, 24, 14, 31, 29, 15, 7, 4, 0, 29, 37, 7, 29, 20, 4] 73
[30, 22, 0, 40, 33, 9, 16, 28, 18, 36, 31, 22, 39, 13, 26, 21, 2, 4, 7, 38] 12
[10, 27, 13, 40, 10, 40, 1, 10, 5, 15, 36, 34, 24, 21, 25, 24, 29, 21, 13, 36] 10
[5, 1, 16, 9, 2, 12, 4, 20, 22, 30, 29, 38, 11, 15, 30, 29, 12, 40, 14, 26] 57
[8, 2, 12, 30, 11, 21, 12, 14, 31, 23, 29, 27, 14, 33, 1, 17, 2, 28, 32, 8] 14
[6, 32, 24, 39, 13, 14, 33, 33, 15, 38, 7, 40, 35, 9, 37, 11, 19, 17, 1, 16] 26
[16, 24, 34, 13, 0, 7, 19, 20, 27, 18, 10, 23, 23, 7, 22, 25, 0, 11, 27, 13] 3
[29, 11, 28, 30, 28, 27, 29, 1, 34, 21, 29, 9, 16, 15, 39, 10, 38, 39, 40, 5] 70
[38, 36, 15, 5, 27, 7, 0, 12, 29, 25, 6, 16, 36, 18, 38, 9, 30, 16, 20, 1] 62
[24, 8, 7, 18, 14, 36, 32, 22, 16, 37, 32, 32, 23, 36, 33, 25, 3, 3, 22, 0] 62
[14, 33, 33, 7, 20, 1, 8, 33, 3, 6, 19, 7, 24, 36, 34, 31, 1, 3, 39, 39] 5
[17, 24, 25, 31, 17, 18, 16, 36, 28, 22, 38, 20, 39, 17, 31, 35, 31, 10, 22, 10] 63
[20, 35, 32, 30, 11, 19, 7, 19, 30, 29, 40, 3, 14, 16, 17, 19, 35, 22, 39, 20] 45
[0, 26, 13, 27, 0, 12, 19, 34, 3, 33, 27, 6, 37, 25, 13, 2, 4, 20, 23, 14] 23
[31, 12, 11, 39, 22, 14, 15, 6, 36, 28, 39, 4, 11, 29, 9, 32, 19, 28, 6, 16] 67
[24, 38, 3, 26, 8, 4, 0, 29, 24, 38, 21, 1, 0, 28, 26, 10, 20, 23, 37, 8] 37
[35, 8, 33, 16, 5, 22, 12, 9, 20, 0, 32, 18, 7, 25, 12, 9, 8, 38, 1, 10] 29
[9, 24, 38, 3, 10, 30, 36, 34, 33, 1, 8, 12, 10, 22, 2, 2, 29, 11, 19, 19] 45
[9, 8, 9, 4, 9, 24, 24, 18, 6, 36, 34, 3, 10, 9, 22, 28, 5, 21, 1, 23] 76
[25, 38, 29, 30, 12, 11, 7, 22, 28, 32, 35, 35, 37, 19, 18, 0, 16, 35, 8, 26] 47
[10, 32, 13, 38, 40, 20, 2, 13, 0, 39, 36, 7, 37, 38, 21, 19, 8, 6, 12, 6] 69
[18, 30, 14, 21, 21, 22, 5, 22, 9, 14, 11, 13, 27, 15, 5, 0, 39, 16, 2, 24] 77
[10, 4, 2, 17, 24, 37, 26, 24, 32, 17, 4, 26, 31, 28, 31, 21, 30, 36, 19, 1] 75
[11, 7, 5, 37, 15, 14, 28, 21, 19, 22, 27, 24, 15, 1, 22, 9, 4, 0, 24, 30] 75
[13, 21, 40, 21, 36, 19, 40, 13, 8, 14, 12, 6, 10, 14, 13, 7, 25, 22, 25, 11] 2
[26, 23, 12, 29, 23, 21, 9, 22, 26, 36, 37, 19, 38, 26, 8, 15, 3, 21, 5, 29] 51
[17, 26, 10, 10, 6, 9, 36, 16, 5, 6, 15, 38, 33, 30, 31, 10, 8, 11, 12, 7] 66
[19, 37, 22, 29, 21, 21, 22, 34, 16, 21, 9, 16, 3, 23, 21, 23, 7, 4, 23, 30] 76
[11, 9, 8, 31, 31, 21, 23, 2, 34, 26, 35, 11, 25, 34, 1, 30, 38, 7, 15, 11] 26
[36, 35, 24, 25, 8, 8, 13, 12, 30, 37, 23, 10, 35, 14, 2, 0, 37, 4, 29, 19] 15
[29, 29, 32, 32, 14, 7, 25, 10, 30, 29, 32, 3, 25, 21, 25, 23, 27, 32, 6, 3] 28
[36, 3, 40, 29, 17, 16, 35, 6, 16, 14, 32, 28, 1, 40, 36, 20, 12, 23, 19, 21] 19
[1, 15, 30, 1, 1, 20, 19, 39, 31, 39, 2, 3, 6, 12, 19, 37, 33, 34, 39, 15] 14
[23, 38, 22, 26, 8, 5, 3, 26, 5, 20, 34, 23, 0, 27, 3, 8, 38, 26, 40, 13] 60
[13, 36, 2, 19, 37, 1, 14, 32, 21, 22, 24, 13, 8, 33, 19, 1, 15, 28, 12, 15] 5
[21, 35, 3, 36, 4, 13, 37, 6, 39, 0, 33, 23, 13, 18, 15, 11, 22, 3, 11, 16] 34
[31, 27, 33, 25, 12, 17, 14, 21, 37, 13, 30, 8, 35, 23, 5, 37, 13, 12, 40, 10] 58
[26, 21, 23, 25, 16, 29, 40, 8, 26, 39, 21, 36, 33, 36, 26, 4, 27, 3, 20, 14] 24
[29, 24, 12, 28, 17, 25, 15, 34, 3, 22, 40, 36, 37, 32, 14, 33, 27, 11, 19, 12] 67
[30, 8, 8, 26, 34, 35, 25, 30, 32, 6, 12, 0, 30, 39, 35, 21, 16, 30, 23, 34] 56
[11, 17, 40, 40, 29, 36, 7, 30, 6, 13, 0, 9, 35, 24, 32, 1, 8, 3, 8, 22] 22
[31, 17, 38, 22, 30, 8, 16, 6, 17, 30, 22, 23, 19, 26, 17, 23, 4, 29, 18, 40] 33
[0, 12, 13, 35, 32, 37, 15, 25, 11, 3, 16, 7, 23, 31, 8, 7, 0, 37, 25, 36] 34
[7, 21, 22, 21, 29, 15, 36, 20, 6, 25, 38, 7, 34, 7, 9, 2, 40, 12, 17, 32] 55
[6, 36, 14, 33, 12, 32, 30, 6, 9, 18, 38, 40, 12, 20, 39, 16, 21, 3, 35, 22] 56
[2, 33, 17, 32, 26, 9, 18, 27, 5, 30, 23, 11, 8, 39, 21, 35, 27, 22, 30, 4] 51
[19, 27, 13, 23, 4, 5, 38, 34, 30, 0, 30, 14, 38, 20, 26, 14, 4, 10, 18, 24] 64
[16, 39, 5, 9, 25, 30, 40, 12, 35, 3, 25, 32, 29, 34, 10, 7, 0, 3, 16, 14] 51
[10, 18, 4, 20, 6, 15, 35, 21, 4, 16, 9, 30, 19, 36, 22, 27, 7, 17, 13, 19] 62
