[5, 3, 7, 0, 7, 3, 10, 3, 10, 9] 0
[6, 0, 1, 6, 4, 4, 5, 4, 5, 5] 19
[4, 1, 8, 0, 5, 5, 9, 3, 9, 1] 14
[9, 8, 2, 5, 1, 9, 2, 7, 2, 6] 14
[2, 1, 4, 3, 1, 7, 4, 0, 10, 7] 18
[6, 6, 9, 2, 7, 1, 6, 1, 6, 3] 20
[8, 5, 2, 10, 0, 7, 6, 5, 8, 2] 15
[1, 0, 6, 1, 10, 0, 6, 9, 8, 7] 9
[9, 10, 7, 9, 8, 0, 4, 2, 8, 6] 9
[10, 2, 2, 2, 8, 0, 2, 10, 1, 9] 14
[9, 4, 10, 0, 3, 1, 0, 8, 0, 0] 14
[9, 9, 1, 8, 2, 0, 6, 2, 8, 2] 14
[0, 0, 7, 9, 1, 1, 6, 5, 4, 3] 15
[10, 8, 6, 9, 8, 9, 4, 6, 2, 8] 0
[5, 0, 5, 6, 2, 7, 5, 6, 4, 3] 3
[0, 3, 10, 1, 4, 4, 2, 1, 9, 8] 4
[5, 6, 2, 10, 3, 1, 6, 4, 10, 8] 17
[8, 1, 10, 7, 6, 9, 4, 5, 7, 0] 2
[0, 6, 1, 7, 9, 1, 3, 10, 1, 8] 15
[3, 5, 4, 0, 0, 4, 7, 9, 2, 3] 1
[0, 4, 7, 2, 3, 0, 3, 0, 2, 1] 18
[10, 9, 0, 5, 1, 9, 6, 8, 8, 8] 14
[6, 4, 7, 1, 1, 5, 9, 5, 9, 10] 0
[6, 7, 7, 0, 6, 8, 6, 7, 2, 5] 1
[8, 6, 10, 6, 2, 3, 5, 1, 9, 4] 0
[9, 9, 9, 8, 10, 2, 2, 0, 0, 1] 4
[1, 2, 5, 3, 10, 3, 3, 2, 6, 8] 18
[1, 9, 9, 6, 9, 3, 0, 0, 2, 6] 18
[4, 10, 8, 10, 1, 8, 9, 9, 7, 5] 11
[6, 4, 5, 4, 6, 0, 9, 4, 4, 3] 13
[0, 10, 1, 0, 7, 7, 3, 7, 5, 1] 10
[1, 6, 5, 9, 7, 5, 4, 2, 0, 5] 5
[7, 5, 3, 3, 1, 4, 2, 8, 10, 7] 14
[6, 8, 1, 0, 10, 4, 9, 5, 9, 10] 18
[5, 9, 10, 6, 6, 8, 6, 2, 2, 6] 18
[9, 0, 8, 2, 3, 2, 5, 6, 5, 1] 8
[7, 0, 7, 4, 5, 5, 5, 0, 9, 3] 20
[3, 3, 5, 10, 6, 7, 10, 1, 4, 1] 16
[4, 3, 1, 2, 6, 10, 7, 5, 1, 5] 2
[7, 1, 1, 4, 6, 2, 0, 5, 6, 0] 14
[1, 7, 9, 4, 8, 5, 7, 6, 3, 7] 3
[0, 8, 0, 8, 0, 4, 10, 1, 3, 3] 20
[6, 10, 10, 7, 10, 3, 2, 5, 9, 10] 9
[8, 2, 7, 2, 10, 6, 4, 2, 5, 6] 16
[0, 5, 1, 4, 4, 6, 9, 1, 9, 10] 0
[4, 10, 10, 1, 9, 2, 5, 8, 8, 9] 18
[10, 9, 8, 6, 9, 2, 6, 7, 10, 5] 17
[7, 3, 9, 3, 1, 0, 3, 1, 2, 9] 4
[5, 5, 9, 1, 10, 7, 0, 5, 10, 1] 16
[10, 6, 3, 8, 3, 3, 5, 2, 10, 4] 9
[7, 10, 5, 5, 2, 8, 2, 4, 8, 6] 14
[9, 8, 1, 7, 9, 10, 1, 5, 4, 10] 8
[9, 4, 0, 5, 6, 7, 1, 9, 9, 3] 14
[5, 5, 6, 5, 3, 10, 0, 8, 3, 7] 7
[9, 1, 0, 3, 2, 3, 9, 2, 10, 1] 15
[2, 8, 9, 6, 4, 0, 9, 1, 6, 4] 5
[1, 6, 9, 0, 3, 7, 9, 5, 10, 10] 16
[9, 4, 2, 4, 0, 10, 7, 3, 10, 1] 1
[7, 8, 8, 3, 9, 2, 3, 1, 5, 3] 8
[8, 4, 0, 7, 1, 6, 4, 6, 1, 8] 16
[6, 10, 4, 0, 6, 7, 0, 5, 0, 3] 11
[8, 0, 9, 2, 4, 1, 8, 1, 10, 10] 5
[1, 10, 3, 8, 9, 2, 0, 9, 1, 6] 15
[5, 1, 3, 7, 6, 3, 9, 3, 9, 4] 3
[7, 10, 2, 1, 5, 4, 9, 6, 8, 1] 10
[6, 7, 3, 6, 1, 6, 5, 7, 0, 5] 11
[5, 7, 9, 3, 10, 2, 8, 6, 7, 0] 13
[0, 0, 2, 3, 2, 10, 0, 4, 7, 3] 5
[0, 7, 3, 9, 9, 0, 4, 8, 10, 1] 15
[1, 7, 7, 4, 10, 6, 4, 0, 1, 9] 1
